"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8"
"rot_cropC-S-C-W-S-C" 0.841973740250085 0.415553311783488 1.63057792725317 -2.31746707674128 1.70742410732253 1.76021649970499 2.54107865673927 1.7475921856406 1.77028194449489 1.39955816134711 199.28140670076 0.567471468100222 2.21927961573331 1.60385892300633 -2.53052628377481 8.08945269681632 1.06648579968489 2.23275268002984 1.30196787207973 -0.308229987830456 5.97981790083797 4.817510702397 0.609051697904253 3.11796084138215 1.61350245397932 -0.282476963062763 -0.323671634095348 -8.76968323914638 0.0113350927106138 0.0105332511843432 0.000322013430121937 -2.1935127785803e-05 -5.1631265354062e-05 1.64589932176215e-05 -0.0612625789910517 0.0407157386367848 0.056478079043879 1.07614142447642 -0.915113764613276 -2.06495294985161 2.12227663299507 -0.231917113765622 3.80223500858357 -0.00820996454946319 -0.00864754737545642 0.00762008903852266
"rot_cropC-S-S-S-S-C" 1.80610006796823 1.43787625590737 4.63019074898921 -0.827285290980289 1.43347071337041 1.91734937557505 1.37697555435645 1.89847679102572 1.83776686497358 2.56196559214925 0.567471468100222 56.7459236189702 1.43978613637852 2.34506247622901 0.345521180486625 2.9329911467303 2.06863089384766 2.19229764478367 1.11297909579394 2.44730506073281 1.28239630328516 0.484234802007396 1.61338970637767 0.318067079832007 3.94793842337023 2.8643683208394 4.66642272764824 -5.75011220550425 0.00179573405729628 -0.00641110711991622 -0.000501925052262991 8.77784070269914e-06 3.40523903024944e-05 -1.01883695891419e-06 -0.00611567210606411 0.0188684969384169 0.00390355063683371 0.316468560922491 -0.770727652749707 -0.454404963488736 -1.07362595857627 1.75069301091594 1.6322374182441 -0.00358546559582085 0.00108631563605971 -0.0035592815025802
"rot_cropS-C-C-C-C-C" 1.20882150978161 1.14142743864782 0.874886551762606 1.28016291919387 1.36042756992417 1.16328651229683 1.18574012734372 1.14008154525387 1.0621925238227 1.05829470975095 2.21927961573331 1.43978613637852 3.69398691124748 1.26559980272588 1.11873950394906 2.65790082513591 1.2563500888847 1.20404081485265 0.89092918516495 1.2976747242053 1.20270306238084 1.5073987437106 1.08866133466587 1.15549438490216 1.18814175192985 1.12548079559179 1.64554934788399 0.498241821089186 0.000936419335523415 2.53016838355149e-05 -5.12121484803739e-05 -1.82690849429241e-06 -9.08680208052439e-07 4.80335475716519e-07 -0.0166708529277566 0.0085138240700253 -0.00528000343818923 0.5097053786087 -0.263556059397492 0.247339250089063 -0.684742467597865 0.388452244051054 -0.184404847931448 -0.00142298925179687 -1.13920621054113e-05 -0.000252609816703106
"rot_cropS-C-C-C-S-C" 1.30799886214276 1.41741340136928 1.24689825033204 1.25772056310654 1.52371919334866 1.59347563155833 1.48467364007345 1.66674924823378 1.61276752331773 1.74254194185972 1.60385892300633 2.34506247622901 1.26559980272588 2.93059404500616 1.37972027461069 1.92472466635039 1.62719338697563 1.69423573903046 1.46988263242823 1.85051584424357 1.35729275376057 1.72342902857048 1.43084470011775 1.76354998292581 1.62471674927574 1.73926550916761 1.76257648174551 0.192097779219272 0.00162032770800692 -0.000843164045607766 0.0021500600988169 -1.18141095632078e-06 4.67703581703292e-06 -7.2835758024182e-06 -0.0222460792151185 0.00415771989677239 -0.00325755234129215 0.683057166507074 -0.229917492100321 0.157919297633582 -0.905914967874246 0.540598624692261 -0.0697165234318997 -0.00157240315082 0.00252331103858354 -0.00191376051520088
"rot_cropS-C-C-S-S-C" 0.903320191574656 1.30729001927824 0.431858600514466 2.86140770762519 1.24681232478037 1.36683586778763 1.60438070044569 1.43258162946392 1.66448482815518 1.64250848821879 -2.53052628377481 0.345521180486625 1.11873950394906 1.37972027461069 17.0786991285456 2.06033593134139 1.5949323750722 1.49093532486054 1.04003225559811 1.75266894047753 1.0530626707427 0.154463678427124 1.4311087542599 2.34678041307173 0.755115531596826 1.79882847476638 1.79340866287539 0.50557701741129 -0.00513259748282392 0.00336585093615685 -0.000206123158543631 1.63484683504805e-05 -6.91494539746438e-06 -4.31027321240793e-06 0.00890001623233535 -0.00515074976152302 -0.0065872170494409 -0.2163757606603 0.257295141367568 -0.0729438120109629 -0.465155652700288 -0.285617971179924 0.589640828726265 0.00205013270690729 -0.000452652367793097 0.000400461876272739
"rot_cropS-C-C-S-W-C" 1.09091312372153 0.903589104792166 1.83433265900397 2.59112229763829 1.37850020750892 1.77020876014646 1.31174509074553 1.4913023465488 0.833564845436303 1.74786666627523 8.08945269681632 2.9329911467303 2.65790082513591 1.92472466635039 2.06033593134139 90.4018114047019 1.06688091469972 1.54421927054886 1.54066150167899 2.04522050371416 4.17589567749594 0.987445126609638 0.384267638617687 2.51495727096099 1.3975540929935 0.426504634759792 1.78414841717951 7.73004972376785 0.0108738236560192 -0.000334318527388316 0.009320087604643 -3.07365888472745e-05 -5.31702332956535e-06 -2.72636767381616e-05 0.0315430473959395 -0.00054663049791315 -0.010192225077577 -1.23233280074458 0.464214100573965 0.122282249007477 2.3078234322942 -1.92373244820877 0.694667419015292 -0.00389597661808562 -0.00220310124289943 -0.0017015293752361
"rot_cropS-C-S-C-C-C" 1.31761426634318 1.29193655036792 1.14952752353662 1.94991130488569 1.35001194953903 1.4655879160409 1.17918923448884 1.51158799879334 1.51308193696635 1.49326539916788 1.06648579968489 2.06863089384766 1.2563500888847 1.62719338697563 1.5949323750722 1.06688091469972 3.77543122156793 1.58123683069873 0.972846913327352 1.63472976966222 1.1061595912177 2.18385951896692 1.46650810432012 1.98299591438709 1.14751213365378 1.84566063708949 1.77737287441279 0.43134965994248 0.000571538317084013 0.000508264230503118 0.00171148649186374 2.98223378124299e-06 -2.21364071921476e-06 -4.70976090405224e-06 -0.0152143946608533 0.0159086305682735 -0.0044408848597676 0.44597598365283 -0.504496526035795 0.126361950495006 -0.424281686997614 0.986033151039777 -0.12795035936003 -0.00130406702980478 0.000476417141840028 -0.000356010323149509
"rot_cropS-C-S-C-S-C" 1.36404489735762 1.30302929428641 1.30138611039899 1.50450390884265 1.34142568574039 1.64145195186719 1.38121314123973 1.68114047592672 1.64750754849247 1.88533742100482 2.23275268002984 2.19229764478367 1.20404081485265 1.69423573903046 1.49093532486054 1.54421927054886 1.58123683069873 1.95633061468709 1.49652633696105 1.79645614197299 1.38757370192643 1.86799332284122 1.61808026612327 1.70028769599374 1.71585792213611 1.93604434827813 2.13084016166423 0.353990091868242 0.00115412504015889 -0.00034108153599389 0.0013538574465088 -3.40974345507119e-07 1.2770368740645e-06 -4.6161069734443e-06 -0.0104027719414549 0.00514847727406159 -0.00698535052685255 0.282399774974193 -0.112895379054899 0.212219633233549 -0.147478141494913 0.197379712876161 -0.109612985908428 -0.00161269850921748 0.000887371137065337 -0.000774265668968346
"rot_cropS-C-S-S-C-C" 0.903420629380278 1.11970224299546 1.04178456593701 0.55569289985289 0.765439020774231 1.53744299076388 0.787142897899229 1.44179130559946 1.64629626122749 1.83352596303777 1.30196787207973 1.11297909579394 0.89092918516495 1.46988263242823 1.04003225559811 1.54066150167899 0.972846913327352 1.49652633696105 26.008045046876 1.53940883411607 0.395641393712878 4.37913814609014 3.34156254745261 -0.501516335419182 1.78410556797631 1.13756776560302 0.64652731755321 -4.26352556537982 0.0112475059496401 -0.000588710867979877 0.00126162833627169 -3.18897687061954e-05 3.95330068399357e-06 -1.74020844299574e-06 -0.0289685627595303 -0.00901573970825573 0.0272705583678065 0.512839030752219 0.543647063281305 -0.767490771832215 1.26456675939134 -1.62771873076291 1.20498264788449 -0.000186416213431789 -0.0037231021718006 -0.000100842647515146
"rot_cropS-C-S-S-S-C" 1.28698286697519 1.38945473659583 0.540661103618598 1.74335662638555 1.61951283210389 1.61058406786826 1.20275291329751 1.63875611372753 1.61776131504536 2.06092387167749 -0.308229987830456 2.44730506073281 1.2976747242053 1.85051584424357 1.75266894047753 2.04522050371416 1.63472976966222 1.79645614197299 1.53940883411607 8.78851471867523 1.45579087557485 2.8765891882104 2.04267202442727 1.82426596993761 2.2902024524706 2.50039964161126 2.73620111724058 -2.2345452015063 0.00538120911780293 0.00124836642134738 0.00447269564988832 -1.32899859722228e-05 -5.69630805812325e-06 -1.41135097548661e-05 -0.0224451984614317 0.0121028702053154 0.0044880608995514 0.442431816266705 -0.199170336411106 -0.0590619380998827 -0.096191177132846 -0.298798503284644 0.585102611276849 -0.00233881369465215 -0.000276320185247303 0.000517857813277975
