"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8"
"rot_cropC-S-C-W-S-C" 0.00454884920134009 0.00255676525070021 -0.00920246821499031 -0.040447561168161 0.00282195986883754 0.00793415422522022 0.00466487679156116 0.000763582294095404 0.00423982101520313 0.0103941188057608 1.57699989397532 0.0182468378098773 -0.000720745015231389 0.0034434656450753 0.0173610382637189 0.0110233996582685 -0.000516237052109681 0.0051700874035728 0.006641896269353 0.00797460651051124 0.0500097152218802 0.0109732806499861 0.00196393524971081 0.0263217886657186 -0.00614630325808197 -0.00445056385219116 -0.00407836558291581 -0.0327450619323808 3.97583695841263e-05 4.20237971848546e-05 9.55476263556723e-06 -1.3141151032099e-07 -1.50843923754809e-07 -1.79637578597207e-08 -0.000301628357628691 -0.000299744554108504 0.000204388548637625 0.0104353444424248 0.00559314703417113 -0.0063709644526949 -0.0111793912914073 -0.00120461595722853 0.0098214224456026 7.75586325559558e-06 -3.16748556216984e-05 5.30114539072485e-05
"rot_cropC-S-S-S-S-C" 0.00183036411293343 0.00309902138995199 0.00547850766334877 0.00949646302387227 0.00117419464304688 0.00399165040401866 0.00180599941612724 0.00379729146046713 0.00323771806174472 0.00723357637718276 0.0182468378098773 0.110677649326616 0.00176342489398348 0.00391677817447253 0.0074709103446511 0.00986788302944755 0.00260129286584977 0.00505673860170849 0.00713562907848225 0.00682621908658178 0.00350990931714297 0.0093639295770017 0.00707727437251092 -0.00144273702504836 0.00690018101285568 0.0078587799035448 0.0128558117815766 0.00290048666723818 8.66519822437401e-06 -2.12855775430446e-06 4.78106459381933e-06 -2.93260653291431e-08 1.82521325119148e-08 -1.05470127562332e-08 -1.50150942732446e-05 7.20404182530065e-05 -1.4763172587466e-05 0.00070466043752308 -0.000733983610404736 0.000487479664931319 0.00204727710224246 -0.0027062625209272 -0.000372145778809711 2.7299846580037e-06 -1.27014016550239e-05 2.13181919364675e-06
"rot_cropS-C-C-C-C-C" 0.00290233273197268 0.00324956426552178 0.00344564755734846 0.00560636568189069 0.00315740856232228 0.00288465089107654 0.00363338239016135 0.00297312787947183 0.0030591461599283 0.00250977089621928 -0.000720745015231389 0.00176342489398348 0.00921070873898704 0.0031403695309343 0.0032804613203348 0.00207288277808083 0.00269274750165797 0.00285090627295838 0.00177406876480562 0.00277418735872819 0.00227852661787581 0.00190444568996805 0.00314892287706206 0.00221342188816703 0.0043028028738572 0.00277787282538154 0.00449347995098481 0.0040610171807868 -1.18473556350437e-06 3.99365006961374e-07 -3.58870964850003e-06 4.90594386250162e-09 -8.9791032297595e-09 7.71707600214228e-09 9.83311551656624e-06 6.22758177101073e-06 -1.26980431125493e-05 -0.00059218400221312 -0.000251628665766017 0.000563652581338007 0.00166804991667025 3.76852166200321e-05 -0.000645519932900418 -3.20321569067686e-06 -3.43168633206663e-07 1.83578101657567e-06
"rot_cropS-C-C-C-S-C" 0.00394128564891441 0.0045611624357405 0.00435568102536454 0.00151429476707637 0.00423863348027261 0.00510392863320908 0.00422421515101261 0.00507390980570364 0.00450946683433159 0.00472961374742983 0.0034434656450753 0.00391677817447253 0.0031403695309343 0.0102941360589683 0.00492147366749793 0.00259825377376753 0.00455299435610929 0.00510792550976983 0.00487850648385727 0.00472795112800315 0.0051570302178881 0.00328325642768459 0.00502882046758109 0.00593462349695419 0.00633340259700005 0.00444202690104193 0.00547687728063156 0.00690719993704049 -1.29542563200317e-09 3.0789598598473e-06 -6.26476634832199e-06 -1.93446722853491e-10 -2.06139288170456e-08 2.17078997505452e-08 -7.17843339178333e-06 4.67257375004505e-06 1.58048350678403e-06 4.0503293210969e-05 -7.8647307433946e-05 0.000225057475478779 0.000725603813446842 -0.000257960477808654 -0.000656886042175733 -1.07022492389171e-06 6.8619507126052e-08 7.49795789192207e-07
"rot_cropS-C-C-S-S-C" 0.00319836237790869 0.00483794090494814 0.00142156811071611 0.00596031541558235 0.00367576804874833 0.00519204658565403 0.00432185035292406 0.00537093718587174 0.00536100115670645 0.00584123745188501 0.0173610382637189 0.0074709103446511 0.0032804613203348 0.00492147366749793 0.0857385859011196 -0.000138586591380248 0.00484115591619371 0.00551770047470581 0.00241331668612674 0.0073157597426523 0.00232776549973455 0.00201787598324198 0.00430966344918707 0.0101860215309988 0.00900523836963877 0.00679905817798886 0.00891145308878413 -0.00922643285969454 -1.32657580423708e-05 -6.22888760576415e-06 -1.37051348488059e-07 3.08708975728023e-08 2.45012427799e-08 -5.1375776975028e-09 8.85629594480947e-05 -3.49178760660267e-05 1.58326750918509e-05 -0.0021730500830232 0.000470675730480314 -9.58811514240149e-05 -0.000965959759747962 -0.00186133299478936 -0.00034132231098977 -8.55384893575013e-06 -6.50528249671051e-06 1.22508296113826e-05
"rot_cropS-C-C-S-W-C" 0.00112711171999914 0.00139194953246739 -0.00354299449440611 0.0151106914015988 0.00139546764350495 0.00362064539373255 0.000253328623542215 0.00341193069512761 0.00104587278407153 0.00437496340774261 0.0110233996582685 0.00986788302944755 0.00207288277808083 0.00259825377376753 -0.000138586591380248 0.400792625652223 0.00377250726517219 0.00239621105022469 0.00203076989957493 0.00617730150481227 0.0118921601555207 -0.00102760998391286 0.00461559624728299 0.0170660021906112 0.0100359104098259 0.00278645203084202 0.00950094230774101 0.0343841157090413 2.05596567462951e-05 -2.55361975183932e-06 -1.20480289297505e-06 -5.36200612315287e-08 -2.74510953017681e-09 -1.91485180294299e-08 1.51384403061348e-05 -7.42140925969138e-05 1.95487915390623e-05 0.00112448635990193 0.00136545739878523 0.00118241948146941 -0.0045035514104649 -0.000153112383825002 -0.00260845511978054 -3.72915478144968e-05 -2.5346861844261e-05 4.80734577767267e-06
"rot_cropS-C-S-C-C-C" 0.00340564147951229 0.0037271871104725 0.0047682068806232 0.000485959518181507 0.00348500294493373 0.00431164317407836 0.00387536159602144 0.00415720416682156 0.00461053799136131 0.00428047452252644 -0.000516237052109681 0.00260129286584977 0.00269274750165797 0.00455299435610929 0.00484115591619371 0.00377250726517219 0.0106612995496615 0.00424069956692087 0.00489033988644757 0.00423936009030768 0.00182460313969885 0.00194976326243826 0.00333631849910412 0.00511544829336618 0.00505491965679807 0.00424263614643678 0.00384752317208885 0.00507301602574504 -8.54370355565243e-07 2.16309427654918e-06 -3.76153411437864e-06 1.53944382662589e-09 -1.02807520966442e-08 8.77785307043406e-09 5.54806889003525e-06 9.00596906760386e-06 2.93019565112579e-06 -0.000459367568731837 -0.000426893712174315 9.41918835545086e-05 0.00124024667922186 0.000963016824383858 -0.000354834237247081 -1.49418628031796e-06 3.13266864992942e-06 -1.22209918778966e-06
"rot_cropS-C-S-C-S-C" 0.00373009365604991 0.00384397202928269 0.00369800159355013 0.00192954770509076 0.00345357445554774 0.00508573520312889 0.00364028005295155 0.0050612623938382 0.0047728310423149 0.00543454668065469 0.0051700874035728 0.00505673860170849 0.00285090627295838 0.00510792550976983 0.00551770047470581 0.00239621105022469 0.00424069956692087 0.00605435943189127 0.00479923836981591 0.00518016803198512 0.00457950797647589 0.00293416799666465 0.0051278162166197 0.00528438737482942 0.00663855404367411 0.0054632750327424 0.00648491528186778 0.00215096836380628 2.9901388571242e-07 7.56334469217184e-07 -2.4745858300185e-06 -9.561421629719e-10 -5.27044498065494e-09 7.82539856484490e-09 3.87294497126779e-06 7.70868904800287e-06 -5.95123509216041e-06 -0.000197307297790403 -0.000152366667633889 0.000216835081346636 0.000461189652929451 0.000458052124353681 -0.000255103366764403 -6.75247437843715e-07 -1.93822882096237e-06 1.71850273357377e-06
"rot_cropS-C-S-S-C-C" 0.00362288379010896 0.00332224177670899 0.00552223146504878 0.000186070413115599 0.00297222628703148 0.00408339030862087 0.00207379954340256 0.0050696491350812 0.00448292446217815 0.00781839512346222 0.006641896269353 0.00713562907848225 0.00177406876480562 0.00487850648385727 0.00241331668612674 0.00203076989957493 0.00489033988644757 0.00479923836981591 0.0820888200730037 0.0028069363137572 0.00126997822059009 0.00678540590954666 0.011816476453341 0.00450965291885206 0.00426580581585776 0.00475813903698837 0.00384853942809605 0.0146663709789138 -6.43742598599842e-06 2.76577726114429e-06 -9.02978533544056e-06 2.14812025170134e-08 -1.53826324981088e-08 2.67825589459909e-08 6.29882001561367e-05 -2.28302237047361e-05 4.2649163717151e-05 -0.00231678787383872 0.00126696776914391 -0.00101099990203922 0.00299355324865568 -0.0035924148069409 0.000683261521904672 6.8607407088985e-06 2.29818837268282e-06 -5.895808494376e-06
"rot_cropS-C-S-S-S-C" 0.00331251686895734 0.00356928986588261 0.000852784771609283 0.000936158259687371 0.00323857279674962 0.00462136972366797 0.00356567265391529 0.00469731531100828 0.00485607227304036 0.00616205163645981 0.00797460651051124 0.00682621908658178 0.00277418735872819 0.00472795112800315 0.0073157597426523 0.00617730150481227 0.00423936009030768 0.00518016803198512 0.0028069363137572 0.0297636619419952 0.00390270539562559 0.00500063546911017 0.00505399027759277 0.00825011479786291 0.0074579902248498 0.00836965788944705 0.0101814267126636 0.00484329693956881 -4.20742557461248e-07 1.23003205402141e-05 2.11272188455009e-06 -5.24042029321296e-09 -3.33229536528602e-08 -3.35527984869182e-09 2.71326237341615e-05 1.9238396392618e-05 -2.43468607404148e-05 -0.00147986764987329 -8.30138775953001e-05 0.000909788914060612 0.00410980532486631 -0.00150149002234908 -0.000407895850725186 7.31112896664957e-06 -1.26795198706508e-05 7.12545985206775e-06
