"","rot_cropC-C-C-C-S-C","rot_cropC-C-C-S-C-C","rot_cropC-C-C-S-S-C","rot_cropC-C-C-S-W-C","rot_cropC-C-S-C-C-C","rot_cropC-C-S-C-S-C","rot_cropC-S-C-C-C-C","rot_cropC-S-C-C-S-C","rot_cropC-S-C-S-C-C","rot_cropC-S-C-S-S-C","rot_cropC-S-C-W-S-C","rot_cropC-S-S-S-S-C","rot_cropS-C-C-C-C-C","rot_cropS-C-C-C-S-C","rot_cropS-C-C-S-S-C","rot_cropS-C-C-S-W-C","rot_cropS-C-S-C-C-C","rot_cropS-C-S-C-S-C","rot_cropS-C-S-S-C-C","rot_cropS-C-S-S-S-C","rot_cropS-C-S-W-S-C","rot_cropS-S-C-C-C-C","rot_cropS-S-C-C-S-C","rot_cropS-S-C-S-C-C","rot_cropS-S-C-S-S-C","rot_cropS-S-S-C-S-C","rot_cropS-S-S-S-S-C","rot_cropW-C-C-S-W-C","pr_6","pr_7","pr_8","I(I(pr_6^2))","I(I(pr_7^2))","I(I(pr_8^2))","cGDD_6m","cGDD_7m","cGDD_8m","EDD_6","EDD_7","EDD_8","vpd_6","vpd_7","vpd_8","soil_6","soil_7","soil_8"
"rot_cropC-S-C-W-S-C",6641.24531406541,6370.98049996914,7914.1536780209,7025.65217048697,6524.58264047246,7493.17517727294,5475.37312188273,6946.71554229902,6375.7108713164,6697.39865640908,322161.910490759,6078.1034665701,4044.86359407352,8529.88872182312,8371.56770089734,3805.13606704808,9274.27378760421,9001.05085307105,11402.7835015526,3211.38833635817,5074.32920970115,7161.2877873249,7222.34115038149,4533.4058548366,6490.53624996028,8217.69056798981,11089.4992590571,3206.57049609561,33.2882055961327,8.57990947162886,-16.3935026444025,-0.125956234100438,-0.0266335254892547,0.0580375873637499,115.936305215731,-116.734132152268,87.8446069355386,-2147.99847107534,5471.8132562364,-876.852239398242,-1008.02720706817,-8053.5999685105,-976.579680794682,-18.9657223576237,-29.077652264947,25.231315815811
"rot_cropC-S-S-S-S-C",3009.60254986651,1633.07050010049,5691.90737999304,4870.98510717341,2472.46023005751,3683.96648967202,2878.79249841639,3265.96852235419,4261.69063180943,4415.10161850519,6078.1034665701,66968.5012042742,2956.19139449412,3673.70013906627,2252.12714268679,3857.3092371485,2814.4072695286,4506.82497123304,5341.7448965046,7980.38786128855,-16.7118428225972,3512.12634319953,4677.90145444956,6730.47096140595,8108.45806914766,8547.77659995439,6616.9468549113,2301.64381841114,3.13883654240161,8.98333166874959,-9.70976145086948,-0.0073719695709845,-0.0252984339711434,0.0210290859338682,-0.2103833544234,37.4033000674691,-34.8871770745918,-144.00851462349,-1219.72026857221,548.170002432738,2320.40295628361,1429.35978301941,1311.55426394469,-0.909508413263488,-6.00477701931914,11.3634133248075
"rot_cropS-C-C-C-C-C",2639.42378985409,2744.36191076137,3559.11069516082,1882.48325910322,2689.3701195151,2719.88770522986,2655.10202157993,2571.01011183202,2961.70922372124,2355.04766422356,4044.86359407352,2956.19139449412,7164.63709117102,2854.97487519217,3088.69759846511,333.871779011455,2924.51204199277,2752.13004146697,2019.37453418281,2589.91072322212,1736.18331577813,2285.15365870929,2343.95431321787,3176.4045545374,3102.27688191242,2558.76491847629,2921.63969007997,1675.30055183917,-3.88793096505148,-1.95937405569163,0.12043662705224,0.0126529530121985,0.00424425001727224,-0.00330804527405326,-15.4439510180282,-3.68543686137085,0.227054933784813,328.266425847924,-58.3642346881815,322.822105761357,-261.199142647212,572.3201873575,-733.318459152909,2.21942636665717,1.13221718581869,-3.2912686965249
"rot_cropS-C-C-C-S-C",3271.4169531496,3914.16957431193,4918.09208761762,3022.93750211275,3926.72262979059,4499.92846591735,3383.08442058849,4257.02205762034,4256.35714958486,4267.58991584407,8529.88872182312,3673.70013906627,2854.97487519217,8327.80103534532,4339.49185860872,3112.84712875254,4276.86206990781,4637.83962849975,4671.21115857887,4039.28218241127,3214.01813196157,2542.03742216964,4309.47311825747,4536.48251438037,4655.52182659389,4163.53972931999,4971.99132684989,6060.20463347978,-9.5201218968712,3.68135806621,1.7344871478382,0.0322722092513921,-0.0118286234945658,-0.00245289732304787,-3.36608056054987,37.6512958513938,5.92099863827699,326.519158712927,-977.60256732206,260.072429335163,-657.647081957873,922.443432666852,-646.961339783452,2.37386433773236,-4.59072319423603,0.944867478974381
"rot_cropS-C-C-S-S-C",1651.38593522986,3144.7454175187,9255.84680086775,1478.51219683061,2828.1035190131,4662.14733361342,3908.84892345976,5060.50575648637,4372.56881527104,4825.84413764086,8371.56770089734,2252.12714268679,3088.69759846511,4339.49185860872,54565.4678704582,1426.95350202764,3144.4583865596,4827.03728194502,6567.21093974964,5796.14197538211,3445.20725566422,5904.98370329024,4700.86319572636,5093.56353689949,5850.23046320012,4252.22515436583,5890.9838116139,12424.8273061537,-22.1796440009974,-4.49124523112691,2.39524307932104,0.0667208794211227,0.0205493047859523,-0.00598588513095237,35.0987187238186,7.11566957615707,-7.86347482578674,-977.622671436673,67.4751971198808,1383.75291669485,1665.07892540332,-794.796422161703,-2469.95775818458,-0.279004898635736,-9.30238491721592,-2.2897344912973
"rot_cropS-C-C-S-W-C",-153.604552424904,1171.51373113617,323.741106640601,13175.1082980235,2538.19645153226,2342.84221020187,3921.91348559414,3382.73632762912,3041.70174449429,2299.21188488193,3805.13606704808,3857.3092371485,333.871779011455,3112.84712875254,1426.95350202764,180659.978037348,2943.74864913567,3147.54430732359,3541.14953122769,5438.88553635175,10192.5649988888,2365.36923386073,5618.07418854624,3254.39042496764,1104.29958865391,5292.68756051225,4656.07761981653,9223.74198698951,-28.0418417799693,4.06488559504599,-9.45537621873176,0.106794545175869,-0.00158641938503494,0.0228818946758859,68.5566362301364,130.872634400307,-80.375201863021,-604.829821410175,-4386.73918742246,180.966186687843,-3574.84582555338,5243.92854528861,3336.81193657248,18.7012727303032,-12.4552700422347,8.19502023030057
"rot_cropS-C-S-C-C-C",2992.22855745044,2918.85082236108,3636.22062671495,110.491382716876,3231.01145312574,4132.74726377038,4140.12229487456,3846.6206518611,4172.61360644545,3618.43720311667,9274.27378760421,2814.4072695286,2924.51204199277,4276.86206990781,3144.4583865596,2943.74864913567,9889.28355844762,3975.46873682483,3238.51545836947,3897.88627551501,3508.56392987908,3950.52388258893,3235.03280800675,4745.20053653716,3961.12284411647,3918.18081828791,4502.65039380815,2770.94390392875,-15.2019928816667,5.18125835157276,-3.55717221443431,0.0461287819111408,-0.0113693240678632,0.0102526700438056,9.71855454456702,59.6601605994606,5.01736446432273,-258.800967868442,-1435.38111773142,93.4198032241459,-402.543946474433,472.435314478077,92.439412314099,5.28301604475207,-7.05536111263772,2.26634703781806
"rot_cropS-C-S-C-S-C",2946.61668794607,3151.09999469651,5584.29279212987,5456.4476719403,3322.30550787482,4853.93424509877,3657.09669775263,4540.24662480265,4611.67559621333,4832.02154606872,9001.05085307105,4506.82497123304,2752.13004146697,4637.83962849975,4827.03728194502,3147.54430732359,3975.46873682483,5578.2082457362,4733.59732280349,5179.22496548893,3991.37815354269,3034.02448689869,4832.44013096282,4984.51399369426,5016.74530145829,4906.88622675283,5489.85496919645,3937.94007062574,-6.27622108765008,-0.179978764511748,0.941059429848527,0.0246641670770619,0.00452068800418581,0.000875813882156163,-21.9901051164438,18.5611947712422,8.95597918132438,698.999921222513,-440.042773656222,-12.4498034330958,-1426.81316985897,661.82146874583,-116.616142736395,1.24100086191604,-5.38340768355043,3.15687971485209
"rot_cropS-C-S-S-C-C",2467.72016371401,2995.9546263832,8068.9186618558,4395.76855678455,3450.33659410503,4228.87935515791,1692.56444566767,3836.09608480486,4188.23836126984,5406.54803371432,11402.7835015526,5341.7448965046,2019.37453418281,4671.21115857887,6567.21093974964,3541.14953122769,3238.51545836947,4733.59732280349,58521.7395620982,-1129.53498279832,4466.45378962343,4784.28019931225,12681.4788847499,724.203217407294,3906.36319251942,3272.4019113817,5520.21254362849,2143.36099606209,-12.5650735368874,-12.8073619013286,6.918182600125,0.0442144938566612,0.0506781836967433,-0.0111185850176756,-31.6316463189949,1.69977272933171,45.4230046161139,1761.87463804273,-389.873903184727,-1565.45257815845,-5925.68894653703,-126.371470306186,2632.33869583267,-8.14389644670812,-6.31174046213003,3.99487765328815
"rot_cropS-C-S-S-S-C",2530.91066873037,2338.5207175825,7938.97703977654,5865.06551871206,2310.69783385067,4605.94347587355,2904.90954155051,5267.62271928698,4073.27319519019,5584.42028526376,3211.38833635817,7980.38786128855,2589.91072322212,4039.28218241127,5796.14197538211,5438.88553635175,3897.88627551501,5179.22496548893,-1129.53498279832,36224.3006393878,4727.81459148104,3861.91733095309,1480.10100585421,5575.00525287504,8655.21977114175,13168.434319085,10015.1658546463,-2528.99057828992,-28.5446026229602,6.00390147651422,-16.7425374582638,0.0967818616951,-0.010472667567036,0.0263367577691649,36.0483643882259,76.2443682229618,-56.8887993642568,-2767.31483105782,-1856.76779961197,-497.264471790529,8827.69364798187,-2073.8277007677,3845.24143419359,15.8384480567853,-18.6887041451213,14.0333748996583
